"","geneID","order","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACT31239-1","ACT31239-1",4125,3.97753267722624,-0.574546276251854,0.406922104804453,3.57655933725026,0.167247643689664,0.410981402070754
"ACT31294-1","ACT31294-1",4186,2.57984265250333,0.673417221629667,0.517408052995832,3.57142509639893,0.167677540093755,0.410981402070754
"ACT28314-1","ACT28314-1",1247,8.81228808761919,0.404177036118102,0.263201001343567,3.55765932959294,0.168835625964597,0.413427063231569
"ACT27830-1","ACT27830-1",741,1.93661242641098,-0.642486006012999,0.593031987319745,3.55402981465191,0.169142299863314,0.413818172384963
"ACT28398-1","ACT28398-1",1337,12.7323964308067,-0.425904398450761,0.258037954701547,3.5509285311195,0.169404782433538,0.414100579281982
"EBG00001118735-1","EBG00001118735-1",3899,1.36426050322632,1.17560397124677,0.78096655056302,3.54883993574475,0.169581783861068,0.414173723636398
"ACT28090-1","ACT28090-1",1011,3.52736506821466,0.373944260085578,0.482918659568358,3.54651461355499,0.169779064666699,0.414296227124285
"ACT27286-1","ACT27286-1",194,10.015057785102,0.466673652915291,0.287859206788533,3.5423892388397,0.170129627223162,0.414689541541688
"ACT29981-1","ACT29981-1",2871,2.56739073236158,0.352454867975773,0.549371240804207,3.53769638105604,0.170529293006134,0.414689541541688
"ACT30536-1","ACT30536-1",3415,20.7166312064857,-0.290767261451163,0.182762895949629,3.53936938073986,0.170386704925262,0.414689541541688
"ACT31264-1","ACT31264-1",4156,3.25503801044625,0.223839526500945,0.564437229300487,3.53941011053838,0.170383235052512,0.414689541541688
"ACT28051-1","ACT28051-1",973,1.57875186006126,0.718808302026629,0.745417476416678,3.53014562920719,0.171174322040745,0.41589895674438
"ACT30289-1","ACT30289-1",3167,4.19265566704135,-0.139736930299363,0.37708939165006,3.52810288933122,0.171349243662068,0.415965060476193
"ACT27767-1","ACT27767-1",681,12.2890432985791,0.23559636442658,0.241191084995379,3.52457549534104,0.171651718466771,0.416170529819684
"ACT29036-1","ACT29036-1",1970,2.12927771066128,0.343395454210297,0.534107782633901,3.52366991026618,0.171729458682696,0.416170529819684
"ACT27192-1","ACT27192-1",110,13.9477241263019,-0.383245082617439,0.233477904021914,3.51277181535934,0.172667774795004,0.418024116548966
"ACT28391-1","ACT28391-1",1330,1.84275668197265,1.30017995022955,0.728813539229734,3.51134248403002,0.172791218630325,0.418024116548966
"EBG00001118618-1","EBG00001118618-1",2638,3.63182332735185,0.540113364482135,0.388633811257998,3.50124149281473,0.173666107372247,0.419780050094632
"ACT27861-1","ACT27861-1",775,1.8824150187458,-0.106296159505126,0.53355192091636,3.49723666949466,0.174014206813478,0.420260725889155
"ACT29715-1","ACT29715-1",2618,5.75423983295361,-0.541318973411808,0.371725312483174,3.49491623723132,0.174216218069061,0.420388063481127
"ACT28712-1","ACT28712-1",1636,1.91416063504613,-0.996420107550082,0.640725205886369,3.49238425739854,0.174436913714162,0.420560230324556
"ACT27172-1","ACT27172-1",90,1.93020157078252,-0.0781081528718726,0.526986076271792,3.48467758348471,0.175110374623025,0.421462234990118
"EBG00001118655-1","EBG00001118655-1",672,12.2902808781972,0.0599887162487354,0.268925652161606,3.48484996255536,0.175095282591603,0.421462234990118
"ACT30584-1","ACT30584-1",3461,1.49801854063516,-0.976109112223515,0.721241721015043,3.48237260929277,0.175312303407958,0.421587913233825
