"","geneID","order","baseMean","logFC.Conditionparaquat","logFC.Conditiontransient","logCPM","F","PValue","padj"
"ACT30848-1","ACT30848-1",3720,13.9891173110388,-1.49994784899107,-0.538455796257113,8.98781911830427,9.36962968314977,8.53938221838086e-05,0.00259956121010275
"ACT30164-1","ACT30164-1",3040,0.766913205008727,-1.00725307319544,-0.306386493071741,10.0750539920843,9.2535906035649,9.58973697365795e-05,0.00289830827527605
"ACT28033-1","ACT28033-1",956,0.895267482313833,-0.693550447203002,-0.0840533299082865,11.3335053641562,9.16808979935984,0.000104454792561883,0.0031121601670388
"ACT31217-1","ACT31217-1",4099,0.512979557349041,-0.703693646355062,-0.290437217998332,11.2476032377747,9.16842722222961,0.000104419563321161,0.0031121601670388
"ACT29951-1","ACT29951-1",2842,1.0552908904914,-1.29293790222237,-0.110320031730634,9.48763409117944,9.15710459436547,0.00010560823826372,0.00312436766863302
"ACT27466-1","ACT27466-1",369,0.473623316340078,-3.08891590794512,0.0106431558540647,7.98154088563912,9.09595426227956,0.000112265769959354,0.00329810139579894
"ACT27902-1","ACT27902-1",819,0.661327110292898,-1.036794516095,-0.20335386746172,10.0137854566556,9.0666240581561,0.000115606335395315,0.0033726542708036
"ACT27537-1","ACT27537-1",439,0.236298303281087,-1.43873386474078,-0.233445122462019,9.2207318703096,9.04669136904446,0.000117933124279336,0.00341680727653442
"ACT30214-1","ACT30214-1",3090,0.175534745469678,-1.69696386918649,-0.599559565927039,8.67052336096882,9.02530899770432,0.000120481228568673,0.00346672356997941
"ACT30977-1","ACT30977-1",3840,0.180581144760407,-1.49561133285872,-0.303617005213127,9.11387926411819,9.01241652940218,0.000122044134832659,0.00348780551314285
"ACT28256-1","ACT28256-1",1197,0.481499513661582,1.61509349545066,0.914740795468122,7.83973444533825,8.9486404652553,0.000130078827435853,0.00369230509498662
"ACT28260-1","ACT28260-1",1201,5.66334481408109,-0.69097383744031,0.0266132384398004,11.060442085137,8.90091011386079,0.000136436249208782,0.00384676968406774
"ACT27462-1","ACT27462-1",365,3.19447357910593,-1.47876276205279,-0.341396738433607,9.08772075015047,8.83167104993034,0.000146214840756778,0.00409499030679482
"ACT28368-1","ACT28368-1",1305,32.0619092396315,-1.84260656977613,-0.522773272796969,8.57119995423479,8.8020896844283,0.000150603437740016,0.00418996716520402
"ACT27506-1","ACT27506-1",408,3.70303626968057,-1.25529264241589,-0.795950081939405,8.89833209909786,8.78332947925431,0.000153454654558229,0.00424120397236263
"ACT30750-1","ACT30750-1",3629,6.17098266988936,1.78358162709401,0.522628818796408,7.57991409764995,8.74763609514516,0.00015902931721182,0.00436655007586179
"ACT27480-1","ACT27480-1",383,6.16929802046649,-0.55986701846847,-0.0348560207136563,12.0638415027311,8.7322588594982,0.000161492958566025,0.00440540207101216
"ACT30793-1","ACT30793-1",3671,0.884690888122973,-1.23419816659025,-0.821965993555398,8.86069260728783,8.72164491414598,0.000163215685136373,0.00442367156940583
"ACT27610-1","ACT27610-1",523,0.443369882840303,-0.628422979405887,-0.722079565101268,9.94919790761815,8.70085429810232,0.000166643602840622,0.00448762676624008
"ACT29509-1","ACT29509-1",2419,3.16423363655038,-1.01144088816943,-0.74991972865138,9.25661571605531,8.67727863604768,0.00017061790444887,0.00453649251006141
"ACT30854-1","ACT30854-1",3726,5.6415573534266,-1.14114132034097,-0.578112132318631,9.33879365023709,8.67730465464453,0.000170613466490365,0.00453649251006141
"ACT28401-1","ACT28401-1",1340,1.18602158649546,-1.09669224877583,0.0569447973869793,9.70413086440003,8.65828041082096,0.000173889419946584,0.00459439907670188
"ACT29066-1","ACT29066-1",2000,1.27539448181778,0.664477734914079,0.578780872077605,10.3674024093479,8.65170007247206,0.00017503712790722,0.00459581858961395
"ACT28861-1","ACT28861-1",1793,8.8699859248437,-0.831475956842341,-0.64000500642032,9.81029601950555,8.63806464797373,0.000177439515871305,0.00462995904456739
"ACT27300-1","ACT27300-1",208,18.5730105661762,-0.130155942133388,-1.19402913781458,8.87774156964422,8.57810872662744,0.000188400372741952,0.00485564396250885
"ACT27382-1","ACT27382-1",288,2.07042399322451,1.56309318375007,0.48726469691825,7.9170355975399,8.58422926475009,0.0001872510947744,0.00485564396250885
"ACT27632-1","ACT27632-1",546,16.2829268356491,0.535770813269479,0.427858955817441,11.7388117892696,8.53824393854827,0.000196060503595438,0.00502225716831973
"ACT29638-1","ACT29638-1",2544,2.24915715983267,-1.14615278877877,-1.77299340915146,7.75420862091809,8.53075979769255,0.00019753295231107,0.00502930868278064
"ACT28631-1","ACT28631-1",1558,10.1611932902443,-1.56159286819912,-1.54727431807366,7.75249898164716,8.43737391036197,0.000216863075417773,0.00548820349295219
"ACT27154-1","ACT27154-1",72,10.3403972313748,-0.962723939475629,-0.294690690075471,10.0562050406506,8.39236766244729,0.000226843510025044,0.005677913055858
